field_name, field_type, label, categorical, business_key, format_code
id, STRING, ID, false, false
date, INTEGER, Year, false, false, "||0||"
business_line, STRING, Business line, true, false
product_line, STRING, Product line, true, false
loan_type, STRING, Loan type, true, false
region, STRING, Region, true, false
average_balance, FLOAT, Average balance, false, false, ",|.|2||EUR"
average_contracted_maturity, FLOAT, Average contracted maturity, false, false, ",|.|1||"
average_delinquent_balance, FLOAT, Average delinquent balance, false, false, ",|.|2||EUR"
average_expected_contract_maturity, FLOAT, Average expected contract maturity, false, false, ",|.|1||"
number_of_contracts, FLOAT, Number of contracts, false, false, ",|.|1||"
number_of_delinquent_contracts, FLOAT, Number of delinquent contracts, false, false, ",|.|1||"
